Epoch 533, loss: 3.835
Epoch 534, loss: 4.571
Epoch 535, loss: 8.301
Epoch 536, loss: 4.910
Epoch 537, loss: 3.726
Epoch 538, loss: 4.061
Epoch 539, loss: 3.861
Epoch 540, loss: 4.337
Epoch 541, loss: 6.026
Epoch 542, loss: 4.406
Epoch 543, loss: 4.756
Epoch 544, loss: 3.791
Epoch 545, loss: 5.189
Epoch 546, loss: 3.936
Epoch 547, loss: 3.751
Epoch 548, loss: 4.285
Epoch 549, loss: 3.724
Epoch 550, loss: 5.136
Epoch 551, loss: 3.863
Epoch 552, loss: 3.051
Epoch 553, loss: 4.213
Epoch 554, loss: 4.005
Epoch 555, loss: 3.946
Epoch 556, loss: 4.004
Epoch 557, loss: 4.587
Epoch 558, loss: 4.556
Epoch 559, loss: 4.155
Epoch 560, loss: 3.321
Epoch 561, loss: 3.300
Epoch 562, loss: 2.953
Epoch 563, loss: 3.521
Epoch 564, loss: 3.795
Epoch 565, loss: 4.064
Epoch 566, loss: 3.319
Epoch 567, loss: 3.695
Epoch 568, loss: 4.002
Epoch 569, loss: 4.198
Epoch 570, loss: 5.137
Epoch 571, loss: 6.111
Epoch 572, loss: 3.813
Epoch 573, loss: 3.569
Epoch 574, loss: 4.705
Epoch 575, loss: 3.836
Epoch 576, loss: 3.595
Epoch 577, loss: 3.270
Epoch 578, loss: 3.934
Epoch 579, loss: 4.041
Epoch 580, loss: 3.094
Epoch 581, loss: 3.474
Epoch 582, loss: 4.852
Epoch 583, loss: 4.615
Epoch 584, loss: 4.966
Epoch 585, loss: 3.809
Epoch 586, loss: 4.203
Epoch 587, loss: 7.536
Epoch 588, loss: 4.162
Epoch 589, loss: 5.906
Epoch 590, loss: 3.539
Epoch 591, loss: 5.130
Epoch 592, loss: 3.615
Epoch 593, loss: 2.797
Epoch 594, loss: 3.286
Epoch 595, loss: 2.654
Epoch 596, loss: 2.998
Epoch 597, loss: 3.063
Epoch 598, loss: 3.098
Epoch 599, loss: 3.085
Epoch 600, loss: 3.218
Epoch 601, loss: 3.075
Epoch 602, loss: 2.879
Epoch 603, loss: 2.789
Epoch 604, loss: 3.944
Epoch 605, loss: 4.311
Epoch 606, loss: 3.867
Epoch 607, loss: 3.851
Epoch 608, loss: 4.336
Epoch 609, loss: 4.633
Epoch 610, loss: 4.100
Epoch 611, loss: 3.660
Epoch 612, loss: 3.187
Epoch 613, loss: 3.489
Epoch 614, loss: 4.819
Epoch 615, loss: 3.854
Epoch 616, loss: 3.512
Epoch 617, loss: 3.073
Epoch 618, loss: 3.262
Epoch 619, loss: 3.300
Epoch 620, loss: 3.772
Epoch 621, loss: 3.233
Epoch 622, loss: 3.154
Epoch 623, loss: 3.089
Epoch 624, loss: 2.767
Epoch 625, loss: 3.306
Epoch 626, loss: 5.971
Epoch 627, loss: 4.312
Epoch 628, loss: 3.219
Epoch 629, loss: 4.677
Epoch 630, loss: 4.400
Epoch 631, loss: 2.868
Epoch 632, loss: 3.644
Epoch 633, loss: 3.371
Epoch 634, loss: 2.792
Epoch 635, loss: 2.765
Epoch 636, loss: 2.894
Epoch 637, loss: 3.191
Epoch 638, loss: 3.739
Epoch 639, loss: 3.850
Epoch 640, loss: 2.832
Epoch 641, loss: 3.076
Epoch 642, loss: 3.166
Epoch 643, loss: 3.114
Epoch 644, loss: 3.120
Epoch 645, loss: 3.538
Epoch 646, loss: 3.082
Epoch 647, loss: 2.317
Epoch 648, loss: 3.452
Epoch 649, loss: 2.784
Epoch 650, loss: 3.331
Epoch 651, loss: 2.764
Epoch 652, loss: 3.211
Epoch 653, loss: 2.439
Epoch 654, loss: 5.034
Epoch 655, loss: 6.215
Epoch 656, loss: 2.700
Epoch 657, loss: 3.940
Epoch 658, loss: 2.964
Epoch 659, loss: 2.619
Epoch 660, loss: 3.286
Epoch 661, loss: 2.682
Epoch 662, loss: 3.216
Epoch 663, loss: 2.675
Epoch 664, loss: 2.582
Epoch 665, loss: 2.302
Epoch 666, loss: 2.673
Epoch 667, loss: 3.853
Epoch 668, loss: 2.626
Epoch 669, loss: 3.056
Epoch 670, loss: 3.432
Epoch 671, loss: 4.680
Epoch 672, loss: 3.314
Epoch 673, loss: 3.558
Epoch 674, loss: 3.653
Epoch 675, loss: 3.365
Epoch 676, loss: 2.897
Epoch 677, loss: 3.052
Epoch 678, loss: 3.044
Epoch 679, loss: 3.538
Epoch 680, loss: 5.001
Epoch 681, loss: 3.879
Epoch 682, loss: 3.570
Epoch 683, loss: 2.843
Epoch 684, loss: 2.231
Epoch 685, loss: 2.752
Epoch 686, loss: 2.669
Epoch 687, loss: 2.346
Epoch 688, loss: 2.485
Epoch 689, loss: 2.977
Epoch 690, loss: 2.546
Epoch 691, loss: 2.350
Epoch 692, loss: 2.250
Epoch 693, loss: 2.837
Epoch 694, loss: 2.379
Epoch 695, loss: 3.092
Epoch 696, loss: 3.777
Epoch 697, loss: 3.457
